"","Unit","Date.sample","Female","Repro.State","Estrogen.ng.g","log.Estrogen","Takeover.period","ID.takeover","Date.takeover","Nb.days.relative.takeover","Infant","Age.takeover","Age.takeover.cat","Age.sample","Age.sample.cat","Laboratory","Wash.step","Avg.temperature","Cumulative.rainfall"
"291","C","2008-05-07","F55","Cyc",17.87,1.25212455250564,"after","TO37","2008-01-29",99,"M123",4.88524590163934,"0-6 months",8.13114754098361,"6-12 months","UM","sodium azide",9.65333333333333,167.1
"292","C","2008-09-13","F55","Cyc",1.88,0.27415784926368,"after","TO37","2008-01-29",228,"M123",4.88524590163934,"0-6 months",12.3606557377049,"12-18 months","UM","sodium azide",8.03225806451613,1137.1
"293","C","2008-06-11","F55","Cyc",25.02,1.3982873053574,"after","TO37","2008-01-29",134,"M123",4.88524590163934,"0-6 months",9.27868852459016,"6-12 months","UM","sodium azide",11.258064516129,468.4
"294","C","2008-06-04","F55","Cyc",6.03,0.780317312140151,"after","TO37","2008-01-29",127,"M123",4.88524590163934,"0-6 months",9.04918032786885,"6-12 months","UM","sodium azide",11.5129032258065,339.5
"295","C","2008-04-28","F55","Cyc",6.44,0.808885867359812,"after","TO37","2008-01-29",90,"M123",4.88524590163934,"0-6 months",7.83606557377049,"6-12 months","UM","sodium azide",9.13225806451613,139.4
"296","C","2008-05-28","F55","Cyc",1.6,0.204119982655925,"after","TO37","2008-01-29",120,"M123",4.88524590163934,"0-6 months",8.81967213114754,"6-12 months","UM","sodium azide",11.5866666666667,256.7
"297","C","2008-05-14","F52","Cyc",4.2,0.6232492903979,"after","TO37","2008-01-29",106,"M22",15.1147540983607,"12-18 months",18.5901639344262,">18 months","UM","sodium azide",11.0733333333333,167.1
"298","C","2008-12-18","F55","Cyc",2.55,0.406540180433955,"after","TO37","2008-01-29",324,"M123",4.88524590163934,"0-6 months",15.5081967213115,"12-18 months","UM","sodium azide",5.9,152.9
"299","C","2008-06-11","F52","Cyc",15.28,1.18412335423967,"after","TO37","2008-01-29",134,"M22",15.1147540983607,"12-18 months",19.5081967213115,">18 months","UM","sodium azide",11.258064516129,468.4
"300","C","2007-12-27","F55","Lac",4.05,0.607455023214668,"before","TO37","2008-01-29",-33,"M123",4.88524590163934,"0-6 months",3.80327868852459,"0-6 months","UM","sodium azide",6.30333333333333,85.3
"301","C","2008-02-20","F55","Cyc",4.57,0.65991620006985,"after","TO37","2008-01-29",22,"M123",4.88524590163934,"0-6 months",5.60655737704918,"0-6 months","UM","sodium azide",6.86451612903226,3.6
"302","C","2008-11-03","F55","Cyc",2.5,0.397940008672038,"after","TO37","2008-01-29",279,"M123",4.88524590163934,"0-6 months",14.0327868852459,"12-18 months","UM","sodium azide",8.2258064516129,545.2
