"","Unit","Female","Infant","Date.birth","Event.end","Date.end","Time.to.swell","Sex.infant","Parity","Takeover.before.swelling","Date.takeover","ID.takeover","Age.takeover","Dataset"
"156","H1","F96","F106","2009-10-15","mother swells","2011-06-18",20.0327868852459,"F","multi","No takeover",NA,NA,NA,"conservative"
"157","G","F85","F84","2013-06-13","mother swells","2015-03-24",21.2786885245902,"F","primi","No takeover",NA,NA,NA,"conservative"
"158","Z","F255","M158","2009-10-05","mother swells","2011-06-21",20.4590163934426,"M","multi","No takeover",NA,NA,NA,"conservative"
"159","H1","F99","M61","2009-10-01","mother swells","2011-03-05",17.0491803278689,"M","multi","No takeover",NA,NA,NA,"conservative"
"160","M1","F155","F143","2014-09-20","mother swells","2016-04-18",18.8852459016393,"F","multi","No takeover",NA,NA,NA,"conservative"
"161","D","F68","F74","2009-09-03","mother swells","2010-05-15",8.32786885245902,"F","multi","No takeover",NA,NA,NA,"conservative"
"162","V","F227","M144","2008-11-01","mother swells","2010-04-22",17.6065573770492,"M","multi","No takeover",NA,NA,NA,"conservative"
"163","L","F120","M98","2007-01-25","mother swells","2008-05-17",15.672131147541,"M","multi","No takeover",NA,NA,NA,"conservative"
"164","C5","F61","M19","2016-07-10","mother swells","2018-03-15",20.0983606557377,"M","primi","No takeover",NA,NA,NA,"conservative"
"165","T","F216","M50","2007-06-07","mother swells","2009-03-10",21.0491803278689,"M","multi","No takeover",NA,NA,NA,"conservative"
"166","D","F66","F63","2009-10-18","mother swells","2011-06-09",19.6393442622951,"F","primi","No takeover",NA,NA,NA,"conservative"
"167","T","F217","F201","2007-05-15","mother swells","2009-05-08",23.7377049180328,"F","multi","No takeover",NA,NA,NA,"conservative"
"168","D","F67","M38","2010-10-29","mother swells","2012-04-06",17.2131147540984,"M","multi","No takeover",NA,NA,NA,"conservative"
"169","J","F111","M74","2012-05-11","mother swells","2014-07-22",26.2950819672131,"M","multi","No takeover",NA,NA,NA,"conservative"
"170","M2","F152","M85","2014-02-18","mother swells","2015-05-12",14.6885245901639,"M","multi","No takeover",NA,NA,NA,"conservative"
"171","D","F68","M44","2011-10-04","mother swells","2012-11-28",13.8032786885246,"M","multi","No takeover",NA,NA,NA,"conservative"
"172","V","F221","F237","2012-01-29","mother swells","2013-05-03",15.0819672131148,"F","multi","No takeover",NA,NA,NA,"conservative"
"173","R","F195","F188","2006-12-05","mother swells","2008-05-19",17.4098360655738,"F","multi","No takeover",NA,NA,NA,"conservative"
"174","R","F195","F189","2009-07-07","mother swells","2011-04-05",20.8852459016393,"F","multi","No takeover",NA,NA,NA,"conservative"
"175","M1","F159","F146","2014-02-25","mother swells","2016-04-04",25.2131147540984,"F","primi","No takeover",NA,NA,NA,"conservative"
"176","M1","F145","F169","2016-06-17","mother swells","2018-03-01",20.3934426229508,"F","multi","No takeover",NA,NA,NA,"conservative"
"177","L","F122","F127","2009-09-10","mother swells","2011-03-04",17.7049180327869,"F","primi","No takeover",NA,NA,NA,"conservative"
"178","V","F232","M142","2018-04-10","mother swells","2020-02-18",22.2622950819672,"M","multi","No takeover",NA,NA,NA,"conservative"
"179","V","F232","F233","2011-11-08","mother swells","2014-02-27",27.6065573770492,"F","primi","No takeover",NA,NA,NA,"conservative"
"180","R","F190","F187","2009-09-28","mother swells","2011-03-05",17.1475409836066,"F","multi","No takeover",NA,NA,NA,"conservative"
"181","V","F235","F229","2014-10-09","mother swells","2016-03-22",17.3770491803279,"F","multi","No takeover",NA,NA,NA,"conservative"
"182","L","F131","M40","2008-02-23","mother swells","2010-04-02",25.2131147540984,"M","multi","No takeover",NA,NA,NA,"conservative"
"183","M1","F167","F164","2014-08-16","mother swells","2016-04-07",19.672131147541,"F","primi","No takeover",NA,NA,NA,"conservative"
"184","M","F133","M117","2006-05-08","mother swells","2007-07-13",14.1311475409836,"M","multi","No takeover",NA,NA,NA,"conservative"
"185","R","F194","M128","2008-01-14","mother swells","2009-04-28",15.4098360655738,"M","multi","No takeover",NA,NA,NA,"conservative"
"186","Z","F256","M43","2011-09-18","mother swells","2013-05-04",19.4754098360656,"M","multi","No takeover",NA,NA,NA,"conservative"
"187","T","F212","M132","2014-07-13","mother swells","2016-03-29",20.4918032786885,"M","multi","No takeover",NA,NA,NA,"conservative"
"188","K","F118","F113","2016-10-12","mother swells","2018-02-17",16.1639344262295,"F","multi","No takeover",NA,NA,NA,"conservative"
"189","Z5","F261","M154","2017-11-17","mother swells","2020-02-26",27.2459016393443,"M","primi","No takeover",NA,NA,NA,"conservative"
"190","T","F200","F212","2007-06-18","mother swells","2008-05-09",10.6885245901639,"F","multi","No takeover",NA,NA,NA,"conservative"
"191","M1","F148","F134","2014-09-02","mother swells","2015-07-09",10.1639344262295,"F","multi","No takeover",NA,NA,NA,"conservative"
"192","Z","F252","M156","2009-11-16","mother swells","2011-06-21",19.0819672131148,"M","primi","No takeover",NA,NA,NA,"conservative"
"193","H1","F105","M68","2009-02-10","mother swells","2011-06-18",28.1311475409836,"M","primi","No takeover",NA,NA,NA,"conservative"
"194","Z","F254","M103","2007-09-10","mother swells","2008-08-14",11.1147540983607,"M","multi","No takeover",NA,NA,NA,"conservative"
